question_id,question,attempt,answer,fact_score,retrieval_time,factchecking_time,atomic_token,checking_token
3,What year did Charles Frac,1,I don't know.,0.0,5.21,6.18,894.67,1502.67
3,What year did Charles Francis Richter develop the Richter scale?,2,I don't know.,0.0,1.3,9.85,894.67,1298.67
3,In what year did Charles Francis Richter introduce the Richter scale for measuring earthquake magnitudes?,3,I don't know.,0.0,1.93,1.98,894.67,1434.67
21,What political party is Albio Sires a member of?,1,Albio Sires is a member of the Democratic Party.,0.00012340980408667956,4.75,3.62,920.0,1582.67
21,What is the name of the political party that Albio Sires represents in the U.S. House of Representatives?,2,Albio Sires represents the Democratic Party in the U.S. House of Representatives.,0.01831563888873418,1.5,11.94,886.67,3361.33
21,"""What political party is Albio Sires affiliated with as a member of the U.S. House of Representatives?""",3,Albio Sires is affiliated with the Democratic Party as a member of the U.S. House of Representatives.,0.01831563888873418,2.03,3.83,893.33,3361.33
25,What position did Thomas William Miller play during his football career?,1,Thomas William Miller played as a midfielder during his football career.,0.01831563888873418,4.91,7.32,929.33,3512.0
25,What specific position did Thomas William Miller primarily play during his professional football career?,2,Thomas William Miller primarily played as a midfielder during his professional football career.,0.06464797857627003,1.0,11.57,932.0,5285.33
25,What was the primary playing position of Thomas William Miller during his professional football career?,3,The primary playing position of Thomas William Miller during his professional football career was midfielder.,0.22313016014842982,1.56,5.29,934.67,7050.67
29,What is the stage name of Bruno Beausir?,1,The stage name of Bruno Beausir is Doc Gynéco.,0.09697196786440505,5.28,8.45,928.0,5068.0
29,What is Bruno Beausir's stage name in the music industry?,2,Bruno Beausir's stage name in the music industry is Doc Gynéco.,0.01831563888873418,1.45,7.81,877.33,3388.0
29,What is the stage name used by Bruno Beausir in his music career?,3,The stage name used by Bruno Beausir in his music career is Doc Gynéco.,0.09697196786440505,0.8,6.17,909.33,5089.33
8,What is the name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001?,1,"The name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001 is ""Oloroso.""",0.09697196786440505,4.39,7.23,916.0,4309.33
8,What restaurant did Rajinder Tony Singh Kusbia become the Chef Patron of in 2001?,2,"Rajinder Tony Singh Kusbia became the Chef Patron of ""Oloroso"" in 2001.",0.09697196786440505,1.61,11.42,906.67,4292.0
8,What is the name of the restaurant where Rajinder Tony Singh Kusbia became the Chef Patron in 2001?,3,"The name of the restaurant where Rajinder Tony Singh Kusbia became the Chef Patron in 2001 is ""Oloroso.""",0.22313016014842982,1.02,6.95,914.67,5732.0
26,What is Ailee's birth name?,1,Ailee's birth name is Amy Lee.,0.01831563888873418,5.46,16.73,833.33,3453.33
26,What is the full birth name of the South Korean singer Ailee?,2,The full birth name of the South Korean singer Ailee is Amy Lee.,0.09697196786440505,1.44,5.29,908.0,5218.67
26,"What is Ailee's full birth name, including her given name and surname?",3,Ailee's full birth name is Amy Lee.,0.01831563888873418,1.29,4.14,834.67,3470.67
20,What was the title of Giulio Caccini's most influential work published in 1602?,1,"The title of Giulio Caccini's most influential work published in 1602 is ""Le nuove musiche.""",0.09697196786440505,4.69,7.91,845.33,4642.67
20,"What is the title of Giulio Caccini's influential collection of songs published in 1602, which is considered a significant contribution to early Baroque music?",2,"The title of Giulio Caccini's influential collection of songs published in 1602 is ""Le nuove musiche.""",0.09697196786440505,1.53,13.53,937.33,4688.0
20,"What is the title of Giulio Caccini's 1602 collection of songs, known for its significant impact on the development of early Baroque music?",3,"The title of Giulio Caccini's 1602 collection of songs is ""Le nuove musiche.""",0.09697196786440505,1.46,5.73,933.33,4676.0
4,What is Gene Simmons' birth name?,1,Gene Simmons' birth name is Chaim Witz.,0.01831563888873418,5.44,16.59,834.67,3182.67
4,What name was Gene Simmons given at birth?,2,Gene Simmons was given the name Chaim Witz at birth.,0.01831563888873418,2.46,3.06,904.0,3205.33
4,"What is the birth name of Gene Simmons, the musician known for being the frontman of the band KISS?",3,The birth name of Gene Simmons is Chaim Witz.,0.01831563888873418,1.41,4.7,928.0,3325.33
35,"What does it mean to be a ""Prima"" in the context of Bulgarian music?",1,"In the context of Bulgarian music, being referred to as a ""Prima"" typically signifies that the artist is a leading or top performer in their genre. It denotes a high level of recognition, talent, and influence within the music scene. In the case of Gloria, who is known as the ""Prima of Bulgarian pop-folk music,"" it indicates her status as a prominent and celebrated figure in that specific musical genre.",1.0,5.21,32.67,2768.0,14546.67
6,What was the cause of Lawrence Patton McDonald's death?,1,"Lawrence Patton McDonald was killed when Korean Air Lines Flight 007 was shot down by Soviet interceptors on September 1, 1983.",0.22313016014842982,5.5,12.9,918.67,6381.33
6,What specific circumstances led to the death of Lawrence Patton McDonald in 1983?,2,"Lawrence Patton McDonald died on September 1, 1983, when Korean Air Lines Flight 007, on which he was a passenger, was shot down by Soviet interceptors. The aircraft had entered Soviet airspace, and Soviet fighters, under the command of General Anatoly Kornukov, engaged and destroyed the plane near Moneron Island, resulting in the deaths of all passengers and crew on board.",1.0,2.35,15.05,1893.33,17593.33
11,What year was William Martin Morris appointed as the bishop of the Toowoomba diocese?,1,William Martin Morris was appointed as the bishop of the Toowoomba diocese in 1992.,0.09697196786440505,5.01,8.76,909.33,4593.33
11,In which year was William Martin Morris consecrated as the bishop of the Toowoomba diocese?,2,William Martin Morris was consecrated as the bishop of the Toowoomba diocese on 10 February 1993.,0.09697196786440505,1.37,12.3,904.0,4602.67
11,In what year was William Martin Morris ordained as the bishop of the Diocese of Toowoomba?,3,William Martin Morris was ordained as the bishop of the Diocese of Toowoomba in 1992.,0.22313016014842982,1.19,7.75,910.67,6121.33
23,What position does Jerrold D. Green currently hold at the Pacific Council on International Policy?,1,Jerrold D. Green currently holds the position of president and chief executive officer at the Pacific Council on International Policy.,0.36787944117144233,5.29,17.6,870.67,7744.0
23,What is Jerrold D. Green's current role or title at the Pacific Council on International Policy as of October 2023?,2,Jerrold D. Green's current role or title at the Pacific Council on International Policy is President and Chief Executive Officer.,0.16734762011132237,2.61,7.48,888.0,6236.0
23,"""What position does Jerrold D. Green hold at the Pacific Council on International Policy as of October 2023?""",3,"As of October 2023, Jerrold D. Green holds the position of president and chief executive officer at the Pacific Council on International Policy.",0.36787944117144233,1.74,7.06,950.67,7757.33
