question_id,question,attempt,answer,fact_score,retrieval_time,factchecking_time,atomic_token,checking_token
4,What is Gene Simmons' birth name?,1,Gene Simmons' birth name is Chaim Witz.,0.01831563888873418,3.73,4.84,834.67,3182.67
4,"What is the birth name of Gene Simmons, the co-founder of the rock band KISS?",2,The birth name of Gene Simmons is Chaim Witz.,0.01831563888873418,1.15,1.99,928.0,3221.33
4,"What is the birth name of Gene Simmons, the co-founder of the rock band KISS, and when was he born?",3,"The birth name of Gene Simmons is Chaim Witz, and he was born on August 25, 1949.",0.01831563888873418,0.99,2.27,857.33,3372.0
13,"What was Thomas Woodley ""Woody"" Abernathy's batting average during his minor league baseball career?",1,"Thomas Woodley ""Woody"" Abernathy had a batting average of .315 during his minor league baseball career.",0.09697196786440505,3.91,5.62,997.33,3884.0
13,"What was Thomas Woodley ""Woody"" Abernathy's batting average in the minor leagues specifically during the 1946 season?",2,I don't know.,0.00012340980408667956,0.8,1.47,894.67,1292.0
13,"What was Thomas Woodley ""Woody"" Abernathy's batting average in the minor leagues during the 1946 baseball season with the specific team he played for that year?",3,I don't know.,0.0,1.34,1.57,894.67,1302.67
8,What is the name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001?,1,"The name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001 is ""Oloroso.""",0.09697196786440505,3.97,5.66,916.0,4309.33
8,"What restaurant did Rajinder Tony Singh Kusbia become the Chef Patron of in 2001, and what is its location?",2,"Rajinder Tony Singh Kusbia became the Chef Patron of ""Oloroso,"" which is located in Edinburgh.",0.09697196786440505,0.9,2.58,910.67,4297.33
8,What is the name and location of the restaurant where Rajinder Tony Singh Kusbia became the Chef Patron in 2001?,3,"Rajinder Tony Singh Kusbia became the Chef Patron at ""Oloroso,"" located on Castle Street, Edinburgh, in 2001.",0.22313016014842982,0.84,3.06,913.33,5745.33
20,What was the title of Giulio Caccini's most influential work published in 1602?,1,"The title of Giulio Caccini's most influential work published in 1602 is ""Le nuove musiche.""",0.09697196786440505,4.04,7.33,845.33,4642.67
20,"What is the title of Giulio Caccini's influential collection of solo songs published in 1602, which is often regarded as a key work in the development of early opera and monody?",2,"The title of Giulio Caccini's influential collection of solo songs published in 1602 is ""Le nuove musiche.""",0.09697196786440505,0.89,2.78,938.67,4717.33
20,"What is the title of Giulio Caccini's 1602 collection of solo songs, which is considered a pivotal work in the evolution of early opera and the monody genre?",3,"The title of Giulio Caccini's 1602 collection of solo songs is ""Le nuove musiche.""",0.09697196786440505,0.88,2.49,934.67,4694.67
