question_id,question,attempt,answer,fact_score,retrieval_time,factchecking_time,atomic_token,checking_token
4,What is Gene Simmons' birth name?,1,Gene Simmons' birth name is Chaim Witz.,0.01831563888873418,2.82,7.17,834.67,3184.0
4,"What is the birth name of musician Gene Simmons, who is best known as a member of the band KISS?",2,The birth name of musician Gene Simmons is Chaim Witz.,0.09697196786440505,1.78,3.41,929.33,4996.0
4,"What is the birth name of Gene Simmons, the bassist and co-founder of the rock band KISS?",3,The birth name of Gene Simmons is Chaim Witz.,0.01831563888873418,0.72,1.94,928.0,3320.0
11,What year was William Martin Morris appointed as the bishop of the Toowoomba diocese?,1,William Martin Morris was appointed as the bishop of the Toowoomba diocese in 1992.,0.09697196786440505,3.06,10.25,909.33,4593.33
11,What is the exact year that William Martin Morris was consecrated as the bishop of the Toowoomba diocese?,2,William Martin Morris was consecrated as the bishop of the Toowoomba diocese in the year 1993.,0.09697196786440505,0.9,2.71,912.0,4600.0
11,What year was William Martin Morris officially consecrated as the bishop of the Toowoomba diocese?,3,William Martin Morris was officially consecrated as the bishop of the Toowoomba diocese on 10 February 1993.,0.22313016014842982,0.84,3.53,905.33,6116.0
20,What was the title of Giulio Caccini's most influential work published in 1602?,1,"The title of Giulio Caccini's most influential work published in 1602 is ""Le nuove musiche.""",0.09697196786440505,4.32,8.99,845.33,4644.0
20,What is the title of Giulio Caccini's significant collection of vocal music published in 1602 that is considered influential in the development of early Baroque opera?,2,"The title of Giulio Caccini's significant collection of vocal music published in 1602 is ""Le nuove musiche.""",0.09697196786440505,1.18,2.66,938.67,4692.0
20,"What is the title of Giulio Caccini's 1602 collection of vocal music that is recognized as a key work in the early development of Baroque opera, featuring the new musical style of monody?",3,"The title of Giulio Caccini's 1602 collection of vocal music is ""Le nuove musiche.""",0.22313016014842982,0.84,4.3,881.33,6296.0
14,What position did Francis Xavier Taylor hold at the U.S. Department of Homeland Security?,1,Francis Xavier Taylor held the position of Under Secretary of Homeland Security for Intelligence and Analysis at the U.S. Department of Homeland Security.,0.22313016014842982,2.97,11.18,972.0,6173.33
